chunk_id,max_alignment_size
12080_sent_435_437,52
11689_sent_14_16,61
2435_sent_161_163,33
10454_sent_15_17,32
10067_sent_1_3,59
11820_sent_643,52
10518_sent_135,17
10454_sent_11_13,34
11826_sent_99,15
11820_sent_567,53
9183_sent_15,50
10041_sent_198_200,35
11820_sent_641_643,52
6187_sent_166_168,80
13088_sent_203,31
11976_sent_35_37,53
11689_sent_29_31,19
10067_sent_87_89,35
10501_sent_52_54,18
12080_sent_230_232,94
10015_sent_174_176,49
11820_sent_647_649,56
13088_sent_202_204,31
12080_sent_148_150,61
11689_sent_17_19,42
11591_sent_64,51
6187_sent_310_312,35
10015_sent_72_74,38
11689_sent_149,76
2801_sent_132,8
9780_sent_3_5,36
11820_sent_107_109,56
10067_sent_143_145,41
12080_sent_330,14
12080_sent_157_159,83
11372_sent_4_6,55
11593_sent_293,57
12080_sent_131_133,65
11820_sent_727_729,94
11689_sent_149_151,76
3405_sent_60,17
10454_sent_66_68,79
11689_sent_20_22,42
10067_sent_163,35
11820_sent_871,17
9183_sent_31_33,27
11820_sent_557_559,74
11326_sent_3_5,52
10067_sent_61_63,31
12080_sent_316_318,71
6187_sent_158_160,62
11337_sent_91_93,83
10065_sent_1_3,7
10518_sent_54,19
11689_sent_62_64,44
12080_sent_507,71
11326_sent_4_6,52
10404_sent_40_42,15
11591_sent_139_141,66
6187_sent_96,93
10067_sent_3,59
11820_sent_474_476,19
11820_sent_154_156,42
11820_sent_846_848,76
12080_sent_226,50
6284_sent_28_30,53
12697_sent_26_28,92
12080_sent_148,61
6187_sent_432_434,30
3405_sent_60_62,24
10067_sent_89,15
10067_sent_62_64,13
10041_sent_356_358,7
10015_sent_46,67
11820_sent_350_352,42
10015_sent_173_175,15
11337_sent_57_59,21
3425_sent_25,61
11593_sent_543_545,45
12080_sent_162_164,106
12697_sent_4_6,18
11820_sent_729_731,75
11148_sent_152_154,27
10015_sent_83_85,17
6187_sent_68_70,14
11150_sent_28_30,50
11826_sent_145,44
10404_sent_30_32,8
6187_sent_206_208,61
11755_sent_63_65,55
10511_sent_30_32,89
11820_sent_319,58
10518_sent_134_136,37
12080_sent_225,47
3904_sent_35_37,67
11826_sent_45_47,23
11820_sent_15,11
11593_sent_542_544,36
11689_sent_35_37,21
11820_sent_664_666,15
12080_sent_317,71
12448_sent_136_138,35
2801_sent_13_15,32
11689_sent_34_36,21
11326_sent_5_7,52
12697_sent_4,18
10067_sent_89_91,15
11591_sent_232_234,49
9183_sent_13_15,50
3405_sent_134,43
11591_sent_257_259,38
12080_sent_289_291,54
11689_sent_223_225,54
12080_sent_225_227,67
12080_sent_368,107
12080_sent_201_203,88
10053_sent_9_11,55
12080_sent_229_231,94
3405_sent_134_136,36
11148_sent_374_376,35
10067_sent_163_165,35
11591_sent_258_260,38
12448_sent_136,35
11593_sent_293_295,11
10404_sent_30,8
11826_sent_144_146,44
11689_sent_21_23,53
11689_sent_36_38,21
12697_sent_3_5,18
2435_sent_209_211,60
11372_sent_31_33,45
11591_sent_82_84,54
11150_sent_51,33
11820_sent_23_25,55
11820_sent_786_788,94
11212_sent_8_10,41
11689_sent_77,124
6187_sent_160,62
10015_sent_46_48,67
11591_sent_234,49
10454_sent_23_25,32
11591_sent_62_64,51
11150_sent_34_36,96
12080_sent_265,137
11689_sent_75_77,124
10053_sent_202_204,44
12080_sent_330_332,25
2435_sent_211,60
10053_sent_42,30
6187_sent_431_433,30
11593_sent_344_346,62
12080_sent_228_230,82
