chunk_id,max_alignment_size
12080_sent_223,150
2435_sent_86_88,26
11820_sent_393_395,76
2801_sent_13_15,35
11689_sent_110_112,138
11593_sent_367_369,29
11820_sent_417_419,89
10067_sent_89_91,47
10518_sent_78_80,65
11820_sent_431,124
11820_sent_398,83
2801_sent_37_39,34
13088_sent_220_222,97
2435_sent_342_344,57
12080_sent_368,105
12080_sent_201_203,77
12448_sent_113,21
11820_sent_606_608,77
12080_sent_235_237,79
11593_sent_500_502,59
10015_sent_172_174,114
12080_sent_51,54
11689_sent_79,94
13088_sent_221_223,97
10518_sent_77_79,65
3904_sent_92_94,82
2801_sent_39_41,34
10041_sent_75_77,70
11591_sent_144_146,93
11150_sent_8_10,97
11593_sent_459,62
11689_sent_114_116,85
10454_sent_3_5,12
12080_sent_160_162,140
11820_sent_781_783,87
2435_sent_209_211,19
10067_sent_148_150,114
2435_sent_337_339,56
11150_sent_52_54,53
11150_sent_51,73
10015_sent_255_257,130
12080_sent_212_214,74
11820_sent_786_788,192
11591_sent_308_310,71
10067_sent_102_104,52
11820_sent_488,109
11689_sent_77,144
10015_sent_46_48,71
11591_sent_244_246,51
11591_sent_62_64,56
11689_sent_64,61
11820_sent_603,71
10454_sent_23_25,13
11150_sent_34_36,105
12080_sent_265,175
11689_sent_75_77,144
11591_sent_197,34
11593_sent_457_459,62
11593_sent_103,89
11593_sent_162_164,39
2435_sent_211,19
12080_sent_234_236,79
11593_sent_81,89
11150_sent_78_80,44
10484_sent_1,56
11820_sent_510_512,93
12080_sent_155_157,119
11820_sent_781,87
2435_sent_340_342,63
11820_sent_380,88
11820_sent_800_802,151
10454_sent_5_7,12
6187_sent_323_325,42
13088_sent_21_23,66
11689_sent_135_137,128
12080_sent_205,106
3405_sent_95,64
11820_sent_181_183,82
11591_sent_148_150,88
11593_sent_164,39
13088_sent_22_24,66
11326_sent_31_33,117
10041_sent_296_298,36
11593_sent_391,92
11591_sent_310,71
3405_sent_35,69
11326_sent_33_35,117
12080_sent_86_88,91
11820_sent_430_432,126
12080_sent_503_505,88
11591_sent_204_206,54
11820_sent_108_110,15
4178_sent_38,19
11148_sent_317_319,12
10015_sent_168_170,137
2435_sent_338_340,56
2801_sent_17_19,49
2435_sent_343_345,57
11148_sent_314_316,19
11820_sent_844_846,91
11820_sent_494_496,96
11968_sent_15_17,51
3405_sent_98_100,61
11820_sent_849,129
11591_sent_140_142,91
11820_sent_125_127,46
12080_sent_359_361,156
11148_sent_304_306,26
12080_sent_264_266,175
11820_sent_49_51,68
11593_sent_118_120,52
11820_sent_633_635,112
3405_sent_73,40
11593_sent_463_465,87
10015_sent_171_173,114
11820_sent_849_851,129
11507_sent_18_20,13
3904_sent_54,83
10067_sent_88_90,38
11689_sent_40_42,45
11689_sent_15_17,108
12080_sent_204_206,106
13088_sent_156_158,63
11150_sent_51_53,73
2801_sent_38_40,34
10041_sent_286_288,79
11689_sent_165_167,61
2801_sent_16_18,49
11820_sent_692_694,79
11820_sent_803_805,69
11990_sent_15_17,57
11689_sent_111_113,138
3405_sent_70_72,94
11593_sent_366_368,68
11150_sent_79_81,44
11820_sent_485_487,27
11591_sent_284,34
12448_sent_54_56,20
11591_sent_203_205,54
12080_sent_73,41
11593_sent_143,48
10041_sent_273_275,65
10015_sent_159_161,101
11591_sent_152_154,91
2435_sent_239_241,100
11593_sent_499_501,59
11689_sent_186_188,33
12080_sent_202_204,77
6187_sent_208_210,70
10041_sent_298,34
11337_sent_109_111,33
